Text
a
a lot
above
about
aeroplane
after
all
allgone
alligator
am
an
and
animal
ankle
another
ant
any
apple
are
arm
around
asleep
at
auntie
awake
away
baa baa
baby
babysitter
babysitter's name
back
backyard
bad
ball
balloon
banana
basket
bat
bath
bath
bathroom
be
beach
beads
beans
bear
because
bed
bedroom
bee
before
behind
belly button
belt
bench
beside
better
bib
big
bike
bird
biscuit
bite
black
blanket
block
blow
blue
boat
book
boots
bottle
bowl
box
boy
bread
breakfast
breakfast
bring
broken
broom
brother
brown
brush
bubbles
bucket
build
bump
bunny
bus
but
butter
butterfly
buttocks
button
buy
by
bye
cake
call
camera
camping
can
car
careful
carrots
carry
cat
catch
cellar
cereal
chair
chalk
chase
cheek
cheese
cherios
chewing gum
chicken
chicken
child
child's own name
chin
chips
chocolate
choo choo
church
circus
clap
clean
clean
climb
clock
close
cloud
clown
coat
cockadoodledoo
coffee
coin
coke
cold
comb
cook
corn
cot
couch
could
country
cover
cow
cowboy
cracker
crayon
cry
cup
cut
cute
dad
dance
dark
day
deer
did/did ya
dinner
dirty
dish
do
doctor
does
dog 
doll
donkey
don't 
door
doughnut
down
downtown
draw
drawer
dress
drink
drink
drive
drop
dry
dry
dryer
duck
dump
each
ear
eat
egg
elephant
empty
every
eye
face
fall
fam
fast
feed
feet
find
fine
finger
finish
fire engine
fireman
first
fish
fish
fit
fix
fizzy drink
flag
flower
food
footpath
for
forest
fork
fridge
friend
frog
full
game
garage
garden
gentle
get
gherkin
gice
giraffe
girl
give me five
glass
glasses
gloves
glue
go
go potty
gonna get you!
gonna/going to
good
goose
gotta/got to
grandma
grandpa
grapes
grass
green
green beans
grr
hafta/have to
hair
hamburger
hammer
hand
happy
hard
hat
hate
have
he
head
hear
heavy
helicopter
hello
help
hen
her
here
hers
hi
hide
high
high chair
him
his
hithold
home
horse
hose
hot
house
how
hug
hungry
hurry
hurt
I 
ice
ice block
ice cream
if
insect
inside/in
into
is 
it
jacket
jam 
jar
jeans
jelly
jersey
juice
jum
keys
kick
kiss
kitchen
knee
knife
knock
ladder
lady
lamb
lamp
last
lawn mower
leg
lemme/let me
lick
light
like
lion
lips
listen
little
living room
llater
loce
lollies
lollipop
long
look
loud
lunch
mad
mailman
make
man
me
meat
medicine
melon
meow
milk
mine
money
monkey
moo
moon
moose
mop
more
morning
motor bike
mouse
mouth
movie
much
muffin
mum
my
myslef
nail
nap
nappy
naughty
necklace
need/need to
new
next to
nice
night
night night
no
noisy
none
noodles
nose
not
now
nurse
nuts
of 
off
old
on
on top of
open
oragne
orange
other
ouch
our
out
outside
oven
over
owl
paint
pancake
paper
park
party
patty cake
peanut butter
peas
peekaboo
pen
pencil
penguin
penis
people
person
petrol station
pet's name
pick
picnic
picture
pig
pillow
pizza
plaground
plant
plate
play
play dough
playpen
please
police
pony
pool
poor
popcorn
porch
possum
potato
potato chip
potty
pour
present
pretend
pretty
pretzel
pruse
pudding
pull
pumpkin
puppy
push
pushchair
put
puzzle
pyjamas
quack quack
quiet
radio
rain
raisin
read
red
ride
rip
rock
rocking chair
roof
room
rooster
rubbish
rum
sad
salt
same
sandpit
sandwich
sauce
say
scared
scarf
school
scissors
see
seing
serviette
shake
share
she
sheep
shh
shirt
shoe
shop
shopping
shorts
shoulder
show
shower
sick
sing
sink
sister
sit
skate
sky
sled
sleep
sleepy
slide
slide
slipper
slow
smile
snack
sneaker
snow
snowman
snowsuit
so
soap
sock
sofa
soft
some
sore
soup
spade
spaghetti
spill
splash
spoon
sprinkler
stairs
stand
star
stay
stick
sticky
stone
stop
story
stove
strawberry
street
stuck
sun 
sweep
swim
swing
table
take
talk
tape
taste
tea
teacher
tear
teddybear
telephone
thank you
that
the
their
them
then
there
these
they
think
thirsty
this
this little piggy
those
throw
tickle
tiger
tights
time
tin
tiny
tired
tissue
to 
toast 
today
toe
tomato sauce
tomorrow
tongue
tonight
too
tooth
toothbrush
touch
towel
toy
tractor
train
tray
tree
tricycle
trousers 
truck
try/try to
tummy
tuna
turkey
turn around
turtle
TV
uh oh 
uncle
under
underpants
up
us
vacuum cleaner
vagina
vanilla
vitamins
vroom
wait
wake
walk
walker
wanna/want to
wardrobe
was
wash
washing machine
watch
watch
water
water
we
were
wet
what
when
where
which
white
who
why
will
wind
window
windy
wipe
wish
with
wolf
woof woof
work
work
would
write
yard
yellow 
yes
yesterday
yogurt
you
your
yourself
yucky
yum yum
zebra
zip
zoo
